,match,team,start_time,end_time,player_ids,xG_conceded,opp_possession
586,2275029,Bristol City WFC,83.0,84.0,"[16381, 21059]",0.0,0.0
587,2275029,Bristol City WFC,84.0,,[16381],0.0,0.0
588,19729,Bristol City WFC,0.0,,"[16381, 16383]",0.0,0.0
589,19759,Arsenal WFC,0.0,91.0,"[10405, 15621]",1.1992132539999998,686.328649009
590,19759,Arsenal WFC,91.0,,[15621],0.0,0.0
591,19771,Birmingham City WFC,0.0,,"[19502, 19503]",0.0,0.0
592,19822,Birmingham City WFC,0.0,,"[19502, 19503]",0.0,0.0
593,19776,Chelsea FCW,0.0,,"[4633, 4642]",0.0,0.0
594,19796,Birmingham City WFC,0.0,,"[15569, 19503]",0.0,0.0
595,2275054,Liverpool WFC,0.0,,"[15614, 19777]",0.0,0.0
596,3764230,West Ham United LFC,0.0,,"[18151, 31556]",0.0,0.0
597,2275103,Liverpool WFC,0.0,,"[15614, 19777]",0.0,0.0
598,19734,Brighton & Hove Albion WFC,0.0,,"[16394, 16395]",0.0,0.0
599,3775645,Everton LFC,0.0,59.0,"[15789, 18254]",1.3195798460000001,1243.192976011
600,3775645,Everton LFC,59.0,79.0,"[18254, 17274]",1.015288532,255.98151000100003
601,3775645,Everton LFC,79.0,,[18254],0.0,0.0
602,2275062,Arsenal WFC,0.0,53.0,"[10235, 15621]",0.7187631299999999,662.450305007
603,2275062,Arsenal WFC,53.0,,[15621],0.0,0.0
604,3775554,Reading WFC,0.0,,"[21021, 31628]",0.0,0.0
605,2275127,Everton LFC,0.0,,"[15575, 18254]",0.0,0.0
606,3764237,Birmingham City WFC,0.0,,"[4984, 15574]",0.0,0.0
607,2275038,Reading WFC,0.0,60.0,"[10198, 31628]",0.0,549.384650017
608,2275038,Reading WFC,60.0,,"[31628, 21021]",0.0,0.0
609,19802,Yeovil Town LFC,0.0,,"[15715, 15717]",0.0,0.0
610,19724,Arsenal WFC,0.0,69.0,"[15621, 18999]",0.7768533850000001,820.739183014
611,19724,Arsenal WFC,69.0,,"[15621, 18999]",0.0,0.0
612,3764233,Reading WFC,0.0,45.0,"[20061, 31628]",1.4800668499999998,786.4466080059999
613,3764233,Reading WFC,45.0,52.0,"[20061, 19780]",0.0,116.01434499999999
614,3764233,Reading WFC,52.0,,[20061],0.0,0.0
615,19725,Brighton & Hove Albion WFC,0.0,,"[16394, 16395]",0.0,0.0
616,3775646,Chelsea FCW,0.0,,"[4633, 4642]",0.0,0.0
617,3775574,Manchester City WFC,0.0,,"[4649, 10252]",0.0,0.0
618,3764237,Manchester United,0.0,45.0,"[4648, 31536]",0.070072402,597.683215013
